Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genres,Country,Language,Runtime,Genres,,,,,,,
Three Wishes,1995,7+,6.1,13%,0,0,1,0,0,"Drama,Fantasy",United States,English,115,Drama,Fantasy,,,,,,
Love Ranch,2010,18+,5.6,13%,0,0,1,0,0,"Biography,Comedy,Drama,Romance,Sport","United States,Germany",English,117,Biography,Comedy,Drama,Romance,Sport,,,
Carpool,1996,7+,5,13%,0,0,1,0,0,Comedy,United States,English,89,Comedy,,,,,,,
An American Carol,2008,13+,4.1,13%,0,0,1,0,0,"Comedy,Fantasy",United States,English,83,Comedy,Fantasy,,,,,,
Double Dragon,1994,13+,3.8,13%,0,0,1,0,0,"Action,Adventure,Comedy,Fantasy,Sci-Fi","United States,France,Denmark",English,96,Action,Adventure,Comedy,Fantasy,Sci-Fi,,,
Siberia,2018,18+,4.3,13%,0,0,1,0,0,"Crime,Romance,Thriller","Canada,United States","English,Russian",104,Crime,Romance,Thriller,,,,,
In My Sleep,2010,13+,5.5,13%,0,0,1,0,0,"Drama,Mystery,Thriller",United States,English,104,Drama,Mystery,Thriller,,,,,
Final Exam,1981,18+,4.7,13%,0,0,1,0,0,"Horror,Thriller",United States,English,89,Horror,Thriller,,,,,,
I Am Here,2014,all,5,13%,0,0,1,0,0,"Drama,Thriller","Germany,Denmark",English,97,Drama,Thriller,,,,,,
When Harry Tries to Marry,2011,13+,4.6,13%,0,0,1,0,0,"Comedy,Romance",United States,English,93,Comedy,Romance,,,,,,
No Manches Frida 2,2019,18+,4,13%,0,0,1,0,0,Comedy,United States,Spanish,102,Comedy,,,,,,,
Ultrasonic,2012,18+,5.5,13%,0,0,1,0,0,"Drama,Mystery,Thriller",United States,English,90,Drama,Mystery,Thriller,,,,,
Beauty and the Beast: The Enchanted Christmas,1997,all,6.1,13%,0,0,0,1,0,"Animation,Family,Fantasy,Music,Musical","Canada,United States",English,72,Animation,Family,Fantasy,Music,Musical,,,
That Darn Cat,1997,7+,4.7,13%,0,0,0,1,0,"Comedy,Crime,Family,Thriller",United States,"English,French",116,Comedy,Crime,Family,Thriller,,,,
House at the End of the Street,2012,13+,5.6,14%,1,0,0,0,0,"Drama,Horror,Thriller","Canada,United States",English,101,Drama,Horror,Thriller,,,,,
The Love Guru,2008,13+,3.8,14%,1,0,1,0,0,"Comedy,Romance,Sport","United Kingdom,Germany,United States",English,87,Comedy,Romance,Sport,,,,,
Sextuplets,2019,16+,4.4,14%,1,0,0,0,0,Comedy,United States,English,97,Comedy,,,,,,,
The Hustle,2019,13+,5.4,14%,0,1,1,0,0,"Comedy,Crime",United States,"English,German,Dutch,Danish,French,American Sign Language",93,Comedy,Crime,,,,,,
Playing It Cool,2014,18+,6,14%,0,1,1,0,0,"Comedy,Romance",United States,"English,Korean",94,Comedy,Romance,,,,,,
Damascus Cover,2018,18+,5.1,14%,0,1,0,0,0,"Mystery,Thriller",United Kingdom,"Arabic,German,English",93,Mystery,Thriller,,,,,,
Life Itself,2018,18+,6.8,14%,0,0,1,0,0,"Drama,Romance","United States,Spain","English,Spanish",117,Drama,Romance,,,,,,
Night Hunter,2019,18+,5.9,14%,0,0,1,0,0,"Action,Crime,Drama,Mystery,Thriller","Canada,United States",English,98,Action,Crime,Drama,Mystery,Thriller,,,
Canadian Bacon,1995,7+,6,14%,0,0,1,0,0,Comedy,"United States,Canada",English,91,Comedy,,,,,,,
Living Among Us,2019,18+,5.2,14%,0,0,1,0,0,"Comedy,Fantasy,Horror,Sci-Fi,Thriller",United States,English,87,Comedy,Fantasy,Horror,Sci-Fi,Thriller,,,
Cavemen,2013,18+,5.3,14%,0,0,1,0,0,Comedy,United States,English,88,Comedy,,,,,,,
Molly,1999,13+,5.8,14%,0,0,1,0,0,Drama,"United Kingdom,Sweden,United States",English,85,Drama,,,,,,,
The Baker,2007,13+,6.4,14%,0,0,1,0,0,"Comedy,Thriller",United Kingdom,English,86,Comedy,Thriller,,,,,,
Dead Man Running,2009,18+,6,14%,0,0,1,0,0,"Action,Crime,Drama,Thriller",United Kingdom,English,92,Action,Crime,Drama,Thriller,,,,
Chattahoochee,1989,18+,6.4,14%,0,0,1,0,0,"Biography,Drama",United States,English,97,Biography,Drama,,,,,,
Free Ride,2013,18+,5.6,14%,0,0,1,0,0,"Action,Drama,Thriller",United States,English,86,Action,Drama,Thriller,,,,,
Bark,2002,18+,5,14%,0,0,1,0,0,"Short,Comedy,Drama,Mystery,Thriller","United States,Canada",English,11,Short,Comedy,Drama,Mystery,Thriller,,,
The Romantics,2010,13+,5.1,14%,0,0,1,0,0,"Comedy,Drama,Romance",United States,English,95,Comedy,Drama,Romance,,,,,
Cook-Off!,2007,18+,4.1,14%,0,0,1,0,0,Comedy,United States,English,98,Comedy,,,,,,,
Antisocial,2013,18+,4.5,14%,0,0,1,0,0,Crime,"Hungary,United Kingdom",English,116,Crime,,,,,,,
Spark: A Space Tail,2017,7+,4.5,14%,0,0,1,0,0,"Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi","Canada,South Korea,United States,China",English,91,Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi,
"Silent Night, Deadly Night Part 2",1987,18+,3.7,14%,0,0,1,0,0,"Horror,Thriller",United States,English,88,Horror,Thriller,,,,,,
New Year's Evil,1980,18+,4.8,14%,0,0,1,0,0,"Horror,Thriller",United States,English,85,Horror,Thriller,,,,,,
Nightlight,2015,18+,4.4,14%,0,0,1,0,0,"Horror,Thriller",United States,English,85,Horror,Thriller,,,,,,
Electric Slide,2014,18+,4.7,14%,0,0,1,0,0,"Action,Biography,Crime,Drama,Thriller",United States,English,95,Action,Biography,Crime,Drama,Thriller,,,
The Haunted Mansion,2003,7+,5,14%,0,0,0,1,0,"Comedy,Family,Fantasy,Horror,Mystery",United States,English,99,Comedy,Family,Fantasy,Horror,Mystery,,,
Confessions of a Teenage Drama Queen,2004,7+,4.6,14%,0,0,0,1,0,"Comedy,Family,Music,Romance","Germany,United States",English,89,Comedy,Family,Music,Romance,,,,
Scary Movie 2,2001,18+,5.3,15%,1,0,0,0,0,"Comedy,Horror","United States,Canada",English,83,Comedy,Horror,,,,,,
Sleepover,2004,7+,5.3,15%,1,0,1,0,0,"Comedy,Family,Romance",United States,English,89,Comedy,Family,Romance,,,,,
The Sea of Trees,2016,13+,6.1,15%,1,0,0,0,0,"Drama,Fantasy,Mystery",United States,"English,Japanese",110,Drama,Fantasy,Mystery,,,,,
