Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genres,Country,Language,Runtime,Genres,,,,,,,
The Matrix Reloaded,2003,18+,7.2,73%,1,0,0,0,0,"Action,Sci-Fi",United States,"English,French",138,Action,Sci-Fi,,,,,,
Christopher Robin,2018,7+,7.3,73%,1,0,0,0,0,"Comedy,Drama,Family,Fantasy","United Kingdom,United States",English,104,Comedy,Drama,Family,Fantasy,,,,
The Score,2001,18+,6.8,73%,1,0,1,0,0,"Crime,Drama,Thriller","Germany,Canada,United States","English,French",124,Crime,Drama,Thriller,,,,,
The Angry Birds Movie 2,2019,7+,6.4,73%,1,0,0,0,0,"Animation,Adventure,Comedy,Family","Finland,United States",English,97,Animation,Adventure,Comedy,Family,,,,
Killing Them Softly,2012,18+,6.2,73%,1,0,0,0,0,"Crime,Drama,Thriller",United States,English,97,Crime,Drama,Thriller,,,,,
Suffragette,2015,13+,6.9,73%,1,0,0,0,0,"Drama,History","United Kingdom,France",English,106,Drama,History,,,,,,
The Blackcoat's Daughter,2017,18+,5.9,73%,1,0,0,0,0,"Horror,Mystery,Thriller",Canada,English,93,Horror,Mystery,Thriller,,,,,
A Christmas Prince,2017,7+,5.7,73%,1,0,1,0,0,"Comedy,Family,Romance",United States,English,92,Comedy,Family,Romance,,,,,
Lost Girls,2020,18+,6.1,73%,1,0,0,0,0,"Drama,Mystery,Thriller",United States,English,95,Drama,Mystery,Thriller,,,,,
To the Bone,2017,18+,6.8,73%,1,0,0,0,0,Drama,United States,English,107,Drama,,,,,,,
Shirley Valentine,1989,18+,7.2,73%,0,1,0,0,0,"Comedy,Drama,Romance","United Kingdom,United States",English,108,Comedy,Drama,Romance,,,,,
Assassination Nation,2018,18+,5.9,73%,0,1,0,0,0,"Action,Comedy,Crime,Drama,Horror,Thriller",United States,"English,Italian",108,Action,Comedy,Crime,Drama,Horror,Thriller,,
Iron Man 2,2010,13+,7,73%,0,0,1,1,0,"Action,Adventure,Sci-Fi",United States,"English,French,Russian",124,Action,Adventure,Sci-Fi,,,,,
What If,2013,13+,6.8,73%,0,0,1,0,0,"Comedy,Romance","Ireland,Canada",English,98,Comedy,Romance,,,,,,
King of New York,1990,18+,7,73%,0,0,1,0,0,"Crime,Thriller","Italy,United States",English,103,Crime,Thriller,,,,,,
Phantasm,1979,18+,6.8,73%,0,0,1,0,0,"Horror,Sci-Fi",United States,English,89,Horror,Sci-Fi,,,,,,
Support Your Local Sheriff,1969,all,7.5,73%,0,0,1,0,0,"Comedy,Romance,Western",United States,English,92,Comedy,Romance,Western,,,,,
Blood Brother,2013,7+,8.3,73%,0,0,1,0,0,"Horror,Thriller",United States,English,87,Horror,Thriller,,,,,,
We Are Legion: The Story of the Hacktivists,2012,7+,7.3,73%,0,0,1,0,0,Documentary,"United States,United Kingdom",English,93,Documentary,,,,,,,
The First Great Train Robbery,1978,7+,6.9,73%,0,0,1,0,0,"Adventure,Crime,Drama,Thriller",United Kingdom,English,110,Adventure,Crime,Drama,Thriller,,,,
Tiger Zinda Hai,2017,7+,6,73%,0,0,1,0,0,"Action,Adventure,Thriller",India,"Hindi,English",161,Action,Adventure,Thriller,,,,,
The Front,1976,7+,7.3,73%,0,0,1,0,0,Drama,United States,English,95,Drama,,,,,,,
Rabid,1977,18+,6.3,73%,0,0,1,0,0,"Horror,Sci-Fi",Canada,English,107,Horror,Sci-Fi,,,,,,
The Age of Stupid,2009,13+,7,73%,0,0,1,0,0,"Documentary,History,News,War",United Kingdom,"English,French",92,Documentary,History,News,War,,,,
The Big Kahuna,2000,18+,6.6,73%,0,0,1,0,0,"Drama,Comedy",United States,English,90,Drama,Comedy,,,,,,
Prodigy,2017,18+,6,73%,0,0,1,0,0,"Drama,Sci-Fi,Thriller",United States,English,80,Drama,Sci-Fi,Thriller,,,,,
Bellflower,2011,18+,6.4,73%,0,0,1,0,0,"Action,Drama,Romance",United States,English,106,Action,Drama,Romance,,,,,
Daughters of Darkness,1971,18+,6.6,73%,0,0,1,0,0,Horror,"Belgium,France,West Germany","English,Dutch,French,German",87,Horror,,,,,,,
M.O.M. Mothers of Monsters,2020,18+,5.3,73%,0,0,1,0,0,Thriller,United States,English,98,Thriller,,,,,,,
The House of Magic,2013,all,6.3,73%,0,0,1,0,0,"Animation,Adventure,Comedy,Family,Fantasy","Belgium,United Kingdom,France","English,French,German",85,Animation,Adventure,Comedy,Family,Fantasy,,,
"Lovely, Still",2008,7+,7.1,73%,0,0,1,0,0,"Drama,Romance",United States,English,92,Drama,Romance,,,,,,
Sex & Drugs & Rock & Roll,2010,18+,6.6,73%,0,0,1,0,0,"Comedy,Music",United States,English,21,Comedy,Music,,,,,,
Double Happiness,1994,13+,7,73%,0,0,1,0,0,"Drama,Romance",Canada,"English,Cantonese",87,Drama,Romance,,,,,,
The Funhouse Massacre,2015,18+,5.2,73%,0,0,1,0,0,"Comedy,Horror",United States,English,90,Comedy,Horror,,,,,,
This Is Our Land,2017,7+,6.3,73%,0,0,1,0,0,Drama,"France,Belgium",French,117,Drama,,,,,,,
Caged Heat,1974,18+,5.3,73%,0,0,1,0,0,"Action,Adventure,Sci-Fi",United States,English,130,Action,Adventure,Sci-Fi,,,,,
Take Me to the River,2014,7+,6.9,73%,0,0,1,0,0,Drama,United States,English,84,Drama,,,,,,,
These Girls,2005,18+,5.5,73%,0,0,1,0,0,"Comedy,Drama",Canada,English,92,Comedy,Drama,,,,,,
The Great New Wonderful,2005,18+,5.6,73%,0,0,1,0,0,"Comedy,Drama,Romance",United States,"English,Hindi,Italian",87,Comedy,Drama,Romance,,,,,
Road to Nowhere,2010,18+,5.4,73%,0,0,1,0,0,Comedy,United Kingdom,English,25,Comedy,,,,,,,
Kissing Candice,2018,16+,5.2,73%,0,0,1,0,0,Drama,"Ireland,United Kingdom",English,108,Drama,,,,,,,
Remember the Titans,2000,7+,7.8,73%,0,0,0,1,0,"Biography,Drama,Sport",United States,English,113,Biography,Drama,Sport,,,,,
Sister Act,1992,7+,6.4,73%,0,0,0,1,0,"Comedy,Crime,Family,Music",United States,English,100,Comedy,Crime,Family,Music,,,,
Muppet Treasure Island,1996,all,7,73%,0,0,0,1,0,"Action,Adventure,Comedy,Family,Musical,Romance",United States,English,99,Action,Adventure,Comedy,Family,Musical,Romance,,
African Cats,2011,all,7.6,73%,0,0,0,1,0,"Documentary,Adventure",United States,English,89,Documentary,Adventure,,,,,,
The Adventures of Huck Finn,1993,7+,6.2,73%,0,0,0,1,0,"Adventure,Comedy,Drama,Family",United States,"English,French",108,Adventure,Comedy,Drama,Family,,,,
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008,all,2.4,73%,0,0,0,1,0,"Documentary,Music",United States,English,74,Documentary,Music,,,,,,
The Adventures of Tintin,2011,7+,7.3,74%,1,0,0,0,0,"Animation,Action,Adventure,Family,Mystery","United States,New Zealand,United Kingdom",English,107,Animation,Action,Adventure,Family,Mystery,,,
War Horse,2011,13+,7.2,74%,1,0,0,0,0,"Action,Adventure,Drama,History,War","United States,India","English,German",146,Action,Adventure,Drama,History,War,,,
Trumbo,2015,18+,7.5,74%,1,0,1,0,0,"Biography,Drama",United States,English,124,Biography,Drama,,,,,,
Candyman,1992,18+,6.6,74%,1,0,0,0,0,"Horror,Thriller","United States,United Kingdom",English,99,Horror,Thriller,,,,,,
Gaga: Five Foot Two,2017,18+,7,74%,1,0,0,0,0,"Documentary,Music",United States,English,100,Documentary,Music,,,,,,
The Exception,2017,18+,6.8,74%,1,0,0,0,0,"Drama,Romance,War","United Kingdom,United States",English,107,Drama,Romance,War,,,,,
Jimmy Neutron: Boy Genius,2001,all,6,74%,1,0,0,0,0,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",United States,English,82,Animation,Action,Adventure,Comedy,Family,Sci-Fi,,
Wakefield,2017,18+,6.3,74%,1,0,0,0,0,Drama,United States,English,106,Drama,,,,,,,
The Secret,2006,7+,5.6,74%,1,0,0,0,0,"Crime,Drama,Horror,Mystery,Thriller","United States,Canada,France",English,106,Crime,Drama,Horror,Mystery,Thriller,,,
The Way Back,2010,13+,7.3,74%,0,1,1,0,0,"Drama,Sport",United States,English,108,Drama,Sport,,,,,,
Lords of Chaos,2019,18+,6.5,74%,0,1,0,0,0,"Biography,Drama,Horror,Music,Thriller","United Kingdom,Sweden,Norway",English,118,Biography,Drama,Horror,Music,Thriller,,,
Destroyer,2018,18+,6.2,74%,0,1,0,0,0,"Action,Crime,Drama,Mystery,Thriller",United States,English,121,Action,Crime,Drama,Mystery,Thriller,,,
House of Sand and Fog,2003,18+,7.5,74%,0,0,1,0,0,"Crime,Drama",United States,"English,Persian",126,Crime,Drama,,,,,,
Sunshine Cleaning,2008,18+,6.8,74%,0,0,1,0,0,"Comedy,Drama",United States,"English,Spanish",91,Comedy,Drama,,,,,,
Too Big to Fail,2011,18+,7.3,74%,0,0,1,0,0,"Biography,Drama,History",United States,English,99,Biography,Drama,History,,,,,
Stake Land,2010,18+,6.5,74%,0,0,1,0,0,"Drama,Horror,Sci-Fi",United States,English,98,Drama,Horror,Sci-Fi,,,,,
Alive Inside,2014,7+,8.2,74%,0,0,1,0,0,"Documentary,News",United States,English,78,Documentary,News,,,,,,
Class of 1984,1982,18+,6.6,74%,0,0,1,0,0,"Action,Crime,Drama,Thriller",Canada,English,98,Action,Crime,Drama,Thriller,,,,
Conversations with Other Women,2006,18+,7,74%,0,0,1,0,0,"Comedy,Drama,Romance","United Kingdom,United States",English,84,Comedy,Drama,Romance,,,,,
The Children Act,2017,18+,6.7,74%,0,0,1,0,0,Drama,"United Kingdom,United States",English,105,Drama,,,,,,,
Welcome to Me,2014,18+,5.9,74%,0,0,1,0,0,"Comedy,Drama",United States,English,87,Comedy,Drama,,,,,,
Tortilla Soup,2001,13+,6.7,74%,0,0,1,0,0,"Comedy,Romance,Drama",United States,"English,Spanish",102,Comedy,Romance,Drama,,,,,
Rampart,2011,18+,5.8,74%,0,0,1,0,0,"Crime,Drama,Thriller",United States,English,47,Crime,Drama,Thriller,,,,,
Sirens,1994,18+,5.8,74%,0,0,1,0,0,"Comedy,Drama,Romance","Australia,United Kingdom",English,98,Comedy,Drama,Romance,,,,,
Alex of Venice,2015,18+,5.8,74%,0,0,1,0,0,Drama,United States,English,86,Drama,,,,,,,
Gunnin' for That #1 Spot,2008,13+,6.5,74%,0,0,1,0,0,"Documentary,Sport",United States,English,90,Documentary,Sport,,,,,,
The Hunting of the President,2004,16+,6.8,74%,0,0,1,0,0,Documentary,United States,English,90,Documentary,,,,,,,
Tron,1982,7+,6.8,74%,0,0,0,1,0,"Action,Adventure,Sci-Fi",United States,English,125,Action,Adventure,Sci-Fi,,,,,
Before the Flood,2016,7+,8.3,74%,0,0,0,1,0,Documentary,United States,English,96,Documentary,,,,,,,
The Hateful Eight,2015,18+,7.8,75%,1,0,0,0,0,"Crime,Drama,Mystery,Thriller,Western",United States,"English,Spanish,French",168,Crime,Drama,Mystery,Thriller,Western,,,
Jodhaa Akbar,2008,13+,7.6,75%,1,0,0,0,0,"Action,Drama,History,Romance,War",India,"Hindi,Urdu",213,Action,Drama,History,Romance,War,,,
Spectral,2016,13+,6.3,75%,1,0,0,0,0,"Action,Adventure,Mystery,Sci-Fi,Thriller","United States,Hungary","English,Russian,Romanian,Slovenian",107,Action,Adventure,Mystery,Sci-Fi,Thriller,,,
Tinker Bell and the Legend of the NeverBeast,2014,all,7.3,75%,1,0,0,0,0,"Animation,Adventure,Family,Fantasy",United States,English,76,Animation,Adventure,Family,Fantasy,,,,
Berlin Syndrome,2017,18+,6.3,75%,1,0,0,0,0,"Drama,Horror,Mystery,Thriller",Australia,"English,German,Russian",116,Drama,Horror,Mystery,Thriller,,,,
Big Miracle,2012,7+,6.5,75%,1,0,0,0,0,"Biography,Drama,Family,Romance","United States,United Kingdom",English,107,Biography,Drama,Family,Romance,,,,
The Wandering Earth,2019,13+,6,75%,1,0,0,0,0,"Action,Drama,Sci-Fi",China,"Mandarin,English,Russian,French,Japanese,Korean,Indonesian,Hindi",125,Action,Drama,Sci-Fi,,,,,
To All the Boys: P.S. I Still Love You,2020,16+,6,75%,1,0,0,0,0,"Comedy,Romance",United States,English,101,Comedy,Romance,,,,,,
The Angel,2018,18+,6.6,75%,1,0,1,0,0,"Drama,Thriller","Israel,United States","English,Hebrew,Arabic,Italian",114,Drama,Thriller,,,,,,
The Princess Switch,2018,7+,6,75%,1,0,0,0,0,Romance,United States,English,101,Romance,,,,,,,
Seoul Searching,2015,18+,7.1,75%,1,0,0,0,0,"Comedy,Drama,Music,Romance","South Korea,China,United States","English,Korean,German",105,Comedy,Drama,Music,Romance,,,,
The Knight Before Christmas,2019,7+,5.5,75%,1,0,0,0,0,"Adventure,Comedy,Drama,Fantasy,Romance",United States,English,92,Adventure,Comedy,Drama,Fantasy,Romance,,,
Concussion,2013,18+,5.6,75%,1,0,0,0,0,"Biography,Drama,Sport","United Kingdom,Australia,United States",English,123,Biography,Drama,Sport,,,,,
EMO the Musical,2017,16+,6.1,75%,1,0,0,0,0,"Comedy,Music,Musical",Australia,English,94,Comedy,Music,Musical,,,,,
Savage Dog,2017,16+,4.9,75%,1,0,0,0,0,"Action,Drama",United States,English,94,Action,Drama,,,,,,
Ibiza,2018,18+,5.2,75%,1,0,0,0,0,"Comedy,Romance",United States,English,94,Comedy,Romance,,,,,,
Tales from the Hood 2,2018,18+,4.4,75%,1,0,0,0,0,"Comedy,Horror",United States,English,111,Comedy,Horror,,,,,,
We Need to Talk About Kevin,2011,18+,7.5,75%,0,1,1,0,0,"Drama,Mystery,Thriller","United Kingdom,United States",English,112,Drama,Mystery,Thriller,,,,,
Monster House,2006,7+,6.6,75%,0,1,0,0,0,"Animation,Adventure,Comedy,Family,Fantasy,Mystery",United States,English,91,Animation,Adventure,Comedy,Family,Fantasy,Mystery,,
Oculus,2014,18+,6.5,75%,0,1,0,0,0,"Horror,Mystery",United States,English,104,Horror,Mystery,,,,,,
Gorky Park,1983,18+,6.8,75%,0,1,1,0,0,"Crime,Drama,Mystery,Thriller",United States,English,128,Crime,Drama,Mystery,Thriller,,,,
High Strung,2016,7+,6.4,75%,0,1,1,0,0,"Drama,Music,Romance","Romania,United States",English,96,Drama,Music,Romance,,,,,
Walking Tall,1973,18+,7,75%,0,1,0,0,0,"Action,Crime",United States,English,86,Action,Crime,,,,,,
Hello I Must Be Going,2012,18+,6.2,75%,0,1,1,0,0,"Comedy,Drama",United States,English,95,Comedy,Drama,,,,,,
Mom and Dad,2018,18+,5.5,75%,0,1,0,0,0,"Comedy,Horror,Thriller","United States,United Kingdom",English,86,Comedy,Horror,Thriller,,,,,
Black Book,2006,18+,7.7,75%,0,0,1,0,0,"Drama,Thriller,War","Netherlands,Germany,United Kingdom,Belgium","Dutch,German,English,Hebrew",145,Drama,Thriller,War,,,,,
The Kings of Summer,2013,18+,7.1,75%,0,0,1,0,0,"Adventure,Comedy,Drama",United States,"English,Spanish",95,Adventure,Comedy,Drama,,,,,
The Whistleblower,2010,18+,7.1,75%,0,0,1,0,0,"Biography,Crime,Drama","Canada,Germany","English,Romanian,Russian,Serbian,Ukrainian",112,Biography,Crime,Drama,,,,,
Capitalism: A Love Story,2009,18+,7.4,75%,0,0,1,0,0,"Documentary,Crime,News",United States,"English,Russian,Spanish",127,Documentary,Crime,News,,,,,
Family,2019,18+,6.3,75%,0,0,1,0,0,"Drama,Family",United States,English,60,Drama,Family,,,,,,
Baby Boom,1987,7+,6.2,75%,0,0,1,0,0,"Comedy,Drama,Romance",United States,English,110,Comedy,Drama,Romance,,,,,
Landline,2017,18+,6.4,75%,0,0,1,0,0,"Comedy,Drama",United States,English,97,Comedy,Drama,,,,,,
Look Both Ways,2005,13+,7,75%,0,0,1,0,0,"Drama,Mystery,Romance",Australia,English,100,Drama,Mystery,Romance,,,,,
Once I Was a Beehive,2015,7+,6.2,75%,0,0,1,0,0,"Comedy,Drama,Family",United States,English,119,Comedy,Drama,Family,,,,,
The Keeping Room,2014,18+,6,75%,0,0,1,0,0,"Drama,Western",United States,English,95,Drama,Western,,,,,,
Zarafa,2012,7+,7,75%,0,0,1,0,0,"Animation,Adventure,Family","France,Belgium",French,78,Animation,Adventure,Family,,,,,
Tales from the Script,2009,7+,7.1,75%,0,0,1,0,0,Documentary,United States,English,105,Documentary,,,,,,,
The Cat's Meow,2001,13+,6.3,75%,0,0,1,0,0,"Drama,Romance","United Kingdom,Germany,Canada,United States",English,114,Drama,Romance,,,,,,
Don't Talk to Irene,2017,16+,6.2,75%,0,0,1,0,0,Comedy,Canada,English,90,Comedy,,,,,,,
I Think We're Alone Now,2008,18+,6.8,75%,0,0,1,0,0,"Drama,Mystery,Sci-Fi",United States,English,93,Drama,Mystery,Sci-Fi,,,,,
Dear Lemon Lima,2009,13+,6.5,75%,0,0,1,0,0,Comedy,United States,English,87,Comedy,,,,,,,
Healing,2014,18+,6.7,75%,0,0,1,0,0,Drama,Australia,English,112,Drama,,,,,,,
Michael Moore Hates America,2004,18+,4.9,75%,0,0,1,0,0,Documentary,United States,English,125,Documentary,,,,,,,
Heidi Fleiss: Hollywood Madam,1995,18+,6.5,75%,0,0,1,0,0,"Documentary,Biography","United Kingdom,Germany,United States,Canada",English,106,Documentary,Biography,,,,,,
High Fantasy,2017,13+,4.5,75%,0,0,1,0,0,"Comedy,Drama","South Africa,Luxembourg",Afrikaans,71,Comedy,Drama,,,,,,
Captivated: The Trials of Pamela Smart,2014,16+,6.6,75%,0,0,1,0,0,Documentary,United States,English,98,Documentary,,,,,,,
The Incomparable Rose Hartman,2016,16+,6.3,75%,0,0,1,0,0,"Documentary,History",United States,English,71,Documentary,History,,,,,,
Avengers: Age of Ultron,2015,13+,7.3,75%,0,0,0,1,0,"Action,Adventure,Sci-Fi",United States,"English,Korean",141,Action,Adventure,Sci-Fi,,,,,
Cars,2006,all,7.1,75%,0,0,0,1,0,"Animation,Comedy,Family,Sport",United States,"English,Italian,Japanese,Yiddish",117,Animation,Comedy,Family,Sport,,,,
The Muppet Christmas Carol,1992,all,7.7,75%,0,0,0,1,0,"Comedy,Drama,Family,Fantasy,Musical","United States,United Kingdom",English,85,Comedy,Drama,Family,Fantasy,Musical,,,
"Honey, I Shrunk the Kids",1989,7+,6.3,75%,0,0,0,1,0,"Adventure,Comedy,Family,Sci-Fi","United States,Mexico",English,93,Adventure,Comedy,Family,Sci-Fi,,,,
The BFG,2016,7+,6.4,75%,0,0,0,1,0,"Adventure,Family,Fantasy","United States,India,United Kingdom",English,117,Adventure,Family,Fantasy,,,,,
3 Men and a Baby,1987,7+,6,75%,0,0,0,1,0,"Comedy,Drama,Family","United States,France",English,102,Comedy,Drama,Family,,,,,
Cinderella III: A Twist in Time,2007,all,5.9,75%,0,0,0,1,0,"Animation,Family,Fantasy,Musical,Romance",United States,English,74,Animation,Family,Fantasy,Musical,Romance,,,
The Crimson Wing: Mystery of the Flamingos,2008,all,7.3,75%,0,0,0,1,0,Documentary,"United States,United Kingdom",English,78,Documentary,,,,,,,
PK,2014,13+,8.1,76%,1,0,0,0,0,"Comedy,Drama,Fantasy",India,"Hindi,English,Urdu,Persian,Kurdish",153,Comedy,Drama,Fantasy,,,,,
Om Shanti Om,2007,7+,6.7,76%,1,0,0,0,0,"Action,Comedy,Drama,Musical,Romance,Thriller",India,"Hindi,Urdu",162,Action,Comedy,Drama,Musical,Romance,Thriller,,
Rugrats in Paris: The Movie,2000,all,6.1,76%,1,0,0,0,0,"Animation,Adventure,Comedy,Family,Romance","Germany,United States","English,French",78,Animation,Adventure,Comedy,Family,Romance,,,
Into the Forest,2016,18+,5.8,76%,1,0,0,0,0,"Drama,Horror,Sci-Fi,Thriller",Canada,English,101,Drama,Horror,Sci-Fi,Thriller,,,,
Goldstone,2016,18+,6.5,76%,1,0,0,0,0,"Crime,Thriller",Australia,"English,Mandarin",110,Crime,Thriller,,,,,,
Lu Over the Wall,2017,7+,6.8,76%,1,0,0,0,0,"Animation,Adventure,Comedy,Family,Fantasy,Music",Japan,Japanese,112,Animation,Adventure,Comedy,Family,Fantasy,Music,,
Comedian,2002,18+,6.9,76%,1,0,0,0,0,"Documentary,Comedy",United States,English,82,Documentary,Comedy,,,,,,
Kevin Hart: What Now?,2016,18+,5.9,76%,1,0,0,0,0,"Documentary,Comedy",United States,English,96,Documentary,Comedy,,,,,,
Una,2017,18+,6.2,76%,1,0,0,0,0,"Drama,Romance","United Kingdom,Canada,United States",English,94,Drama,Romance,,,,,,
Hotel Mumbai,2018,18+,7.6,76%,0,1,0,0,0,"Action,Drama,History,Thriller","Australia,United States,United Kingdom,India,Singapore",English,123,Action,Drama,History,Thriller,,,,
Charlotte's Web,1973,all,6.9,76%,0,1,1,0,0,"Comedy,Family,Fantasy","United States,Germany,Australia",English,97,Comedy,Family,Fantasy,,,,,
Paranoid Park,2007,18+,6.7,76%,0,1,0,0,0,"Crime,Drama,Mystery","France,United States",English,85,Crime,Drama,Mystery,,,,,
The Den,2013,18+,6,76%,0,1,0,0,0,"Horror,Mystery,Thriller",United States,English,81,Horror,Mystery,Thriller,,,,,
The Man Who Killed Hitler and Then the Bigfoot,2019,18+,5.6,76%,0,1,0,0,0,"Adventure,Drama,Sci-Fi,War",United States,"English,Russian",98,Adventure,Drama,Sci-Fi,War,,,,
Take Every Wave: The Life of Laird Hamilton,2018,7+,7.3,76%,0,1,0,0,0,"Documentary,Sport",United States,English,118,Documentary,Sport,,,,,,
American Folk,2018,7+,6.1,76%,0,1,1,0,0,"Drama,Musical",United States,English,99,Drama,Musical,,,,,,
Samsara,2011,13+,8.5,76%,0,0,1,0,0,"Documentary,Music","United States,Indonesia,Singapore,Thailand,Kenya,Denmark,Brazil,Jordan,United Arab Emirates,Saudi Arabia,South Africa,Italy,Ghana,Egypt,China,Japan,Ethiopia,South Korea,Namibia",None,102,Documentary,Music,,,,,,
The Virgin Suicides,1999,18+,7.2,76%,0,0,1,0,0,"Drama,Romance",United States,English,97,Drama,Romance,,,,,,
Miss Sloane,2016,18+,7.5,76%,0,0,1,0,0,"Drama,Thriller","France,United States,United Kingdom,Canada",English,132,Drama,Thriller,,,,,,
Air Force One,1997,18+,6.5,76%,0,0,1,0,0,"Action,Drama,Thriller","United States,Germany","English,Russian",124,Action,Drama,Thriller,,,,,
"Don't Worry, He Won't Get Far on Foot",2018,18+,6.9,76%,0,0,1,0,0,"Biography,Comedy,Drama","France,United States",English,114,Biography,Comedy,Drama,,,,,
Behind the Mask: The Rise of Leslie Vernon,2006,18+,6.7,76%,0,0,1,0,0,"Comedy,Horror,Thriller",United States,English,92,Comedy,Horror,Thriller,,,,,
Igby Goes Down,2002,18+,6.9,76%,0,0,1,0,0,"Comedy,Drama",United States,English,98,Comedy,Drama,,,,,,
The Young and Prodigious T.S. Spivet,2013,all,7.1,76%,0,0,1,0,0,"Action,Adventure,Comedy,Drama,Family","France,Canada",English,105,Action,Adventure,Comedy,Drama,Family,,,
Guava Island,2019,18+,6.7,76%,0,0,1,0,0,"Comedy,Drama,Music,Musical,Thriller",United States,English,55,Comedy,Drama,Music,Musical,Thriller,,,
A Late Quartet,2012,18+,7.1,76%,0,0,1,0,0,"Drama,Music",United States,English,105,Drama,Music,,,,,,
StreetDance 3D,2010,13+,5.9,76%,0,0,1,0,0,"Drama,Music,Romance",United Kingdom,English,98,Drama,Music,Romance,,,,,
The Son of Bigfoot,2017,7+,6.1,76%,0,0,1,0,0,"Animation,Adventure,Comedy,Family,Fantasy","Belgium,France,United States",English,92,Animation,Adventure,Comedy,Family,Fantasy,,,
Never Goin' Back,2018,18+,6,76%,0,0,1,0,0,"Comedy,Crime,Drama",United States,English,85,Comedy,Crime,Drama,,,,,
Northern Soul,2014,13+,6.4,76%,0,0,1,0,0,"Drama,Music",United Kingdom,English,102,Drama,Music,,,,,,
The Bedroom Window,1987,18+,6.4,76%,0,0,1,0,0,"Crime,Mystery,Thriller",United States,English,112,Crime,Mystery,Thriller,,,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,7+,6.9,76%,0,0,0,1,0,"Adventure,Family,Fantasy","United Kingdom,United States","English,German,Brazilian Sign Language",143,Adventure,Family,Fantasy,,,,,
Cool Runnings,1993,7+,7,76%,0,0,0,1,0,"Adventure,Comedy,Family,History,Sport",United States,"English,German,Russian",98,Adventure,Comedy,Family,History,Sport,,,
The Good Dinosaur,2015,7+,6.7,76%,0,0,0,1,0,"Animation,Adventure,Comedy,Drama,Family,Fantasy",United States,English,93,Animation,Adventure,Comedy,Drama,Family,Fantasy,,
The Great Muppet Caper,1981,all,7.2,76%,0,0,0,1,0,"Adventure,Comedy,Crime,Family,Musical,Mystery","United Kingdom,United States",English,97,Adventure,Comedy,Crime,Family,Musical,Mystery,,
The Love Bug,1968,all,6.5,76%,0,0,0,1,0,"Comedy,Family,Sport",United States,"English,Cantonese,Spanish",108,Comedy,Family,Sport,,,,,
Chimpanzee,2012,all,7.2,76%,0,0,0,1,0,"Documentary,Family","Tanzania,United States",English,78,Documentary,Family,,,,,,
Escape to Witch Mountain,1975,all,6.4,76%,0,0,0,1,0,"Adventure,Family,Fantasy,Mystery,Sci-Fi",United States,English,97,Adventure,Family,Fantasy,Mystery,Sci-Fi,,,
Sin City,2005,18+,8,77%,1,0,0,0,0,"Crime,Thriller",United States,English,124,Crime,Thriller,,,,,,
Cloverfield,2008,13+,7,77%,1,0,0,0,0,"Action,Adventure,Horror,Mystery,Sci-Fi,Thriller",United States,"English,Russian",85,Action,Adventure,Horror,Mystery,Sci-Fi,Thriller,,
The Fundamentals of Caring,2016,18+,7.3,77%,1,0,1,0,0,"Comedy,Drama",United States,English,97,Comedy,Drama,,,,,,
Julie & Julia,2009,13+,7,77%,1,0,0,0,0,"Biography,Drama,Romance",United States,"English,French",123,Biography,Drama,Romance,,,,,
Stree,2018,7+,7.6,77%,1,0,0,0,0,"Comedy,Horror",India,Hindi,128,Comedy,Horror,,,,,,
Kill the Messenger,2014,18+,6.9,77%,1,0,0,0,0,"Biography,Crime,Drama,Mystery,Thriller",United States,English,112,Biography,Crime,Drama,Mystery,Thriller,,,
Between Two Ferns: The Movie,2019,18+,6.1,77%,1,0,0,0,0,Comedy,United States,English,82,Comedy,,,,,,,
Voyeur,2017,18+,6.2,77%,1,0,0,0,0,"Drama,Romance",Italy,"English,Italian",98,Drama,Romance,,,,,,
Juanita,2019,18+,5.9,77%,1,0,0,0,0,Drama,United States,"English,Spanish",90,Drama,,,,,,,
13 Cameras,2015,18+,5.1,77%,1,0,0,0,0,"Crime,Drama,Horror,Thriller",United States,English,87,Crime,Drama,Horror,Thriller,,,,
I Kill Giants,2018,13+,6.2,77%,0,1,0,0,0,"Drama,Fantasy,Thriller","United States,Belgium,Denmark,United Kingdom,Sweden,China",English,106,Drama,Fantasy,Thriller,,,,,
The Cooler,2003,18+,6.9,77%,0,1,1,0,0,"Drama,Romance",United States,English,101,Drama,Romance,,,,,,
In the Fade,2017,18+,7.1,77%,0,1,0,0,0,"Crime,Drama,Thriller","Germany,France","German,Greek,English,Turkish",106,Crime,Drama,Thriller,,,,,
The China Hustle,2018,18+,7.2,77%,0,1,0,0,0,Documentary,United States,English,82,Documentary,,,,,,,
Anna and the Apocalypse,2017,18+,6,77%,0,1,1,0,0,"Comedy,Horror,Musical",United Kingdom,English,93,Comedy,Horror,Musical,,,,,
Thor,2011,13+,7,77%,0,0,1,1,0,"Action,Adventure,Fantasy",United States,English,115,Action,Adventure,Fantasy,,,,,
The Machinist,2004,18+,7.7,77%,0,0,1,0,0,"Drama,Thriller","Spain,France,United Kingdom,United States","English,Spanish",101,Drama,Thriller,,,,,,
